Probability (10^-n),Score,Injected Count
7,0.5912698412698413,0.026624
6,0.5833333333333334,0.26624
5,0.5674603174603174,2.6624
4,0.5714285714285714,26.624
3,0.5753968253968254,266.24
2,0.5674603174603174,2662.4
1,0.38492063492063494,26624.0
