Probability (10^-n),Score,Injected Count
7,0.6111111111111112,134.217728
6,0.5714285714285714,1342.17728
5,0.23412698412698413,13421.7728
4,0.25,134217.728
3,0.24206349206349206,1342177.28
2,0.24206349206349206,13421772.8
1,0.23412698412698413,134217728.0
