Probability (10^-n),Score,Injected Count
7,0.5476190476190477,563.7144576
6,0.5476190476190477,5637.144576
5,0.23809523809523808,56371.44576
4,0.2896825396825397,563714.4576
3,0.2896825396825397,5637144.576
2,0.26587301587301587,56371445.76
1,0.2698412698412698,563714457.6
