Probability (10^-n),Score,Injected Count
7,0.6190476190476191,13.4217728
6,0.5674603174603174,134.217728
5,0.5634920634920635,1342.17728
4,0.5357142857142857,13421.7728
3,0.4246031746031746,134217.728
2,0.20634920634920634,1342177.28
1,0.20634920634920634,13421772.8
